centrourbano;departamento;sector;ambito;grado;0años;1año;2años;3años;4años;5años;6años;7años;8años;9años;10años;11años;12años;13años;14años;15años;16años;17años;18años;19años;20años;21años;22años;23años;24años;25años;26años;27años;28años;29años;30añosymás;TotalAlumnos
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1347;14;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1362
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1434;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1441
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18;1307;37;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1364
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;26;1352;46;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1426
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Deambuladores;     ;180;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;180
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Lactantes;40;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;40
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Sala de 2;     ;1;619;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;620
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Sala de 3;     ;     ;8;1005;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1014
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Sala de 4;     ;     ;     ;3;1225;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1231
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;Sala de 5;     ;     ;     ;     ;7;1183;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1190
Ciudad de Buenos Aires;Comuna 12;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;6;14;35;36;65;80;61;70;54;64;63;61;529;1138
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;1°;     ;     ;     ;     ;     ;     ;710;27;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;737
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;34;904;270;72;18;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1300
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;29;892;210;56;8;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1195
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;12;807;198;51;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1068
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1;311;61;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;373
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;22;755;24;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;804
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;21;794;32;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;849
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;33;786;33;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;854
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;31;775;35;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;843
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17;800;51;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;875
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;24;842;44;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;912
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;32;1017;107;22;3;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1182
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;24;1117;217;48;5;     ;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1412
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Deambuladores;3;113;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;116
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Lactantes;69;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;69
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Sala de 2;     ;5;285;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;290
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Sala de 3;     ;     ;7;464;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;471
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;563;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;563
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;634;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;634
Ciudad de Buenos Aires;Comuna 13;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;160;300;324;367;389;337;248;225;177;144;112;102;1042;3927
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;2072;11;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2083
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1;18;2682;115;17;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2835
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;27;2610;121;20;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2780
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;35;2694;125;15;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2869
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;5;25;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;30
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;2178;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2194
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;3;2273;15;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2293
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;1;2281;17;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2300
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;3;2243;20;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2267
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;4;2239;28;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2272
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1;2;2417;35;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2457
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;29;2782;62;4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2877
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;32;2767;94;6;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2900
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Deambuladores;     ;311;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;313
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Lactantes;6;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;9
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Sala de 2;     ;7;1083;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1090
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Sala de 3;     ;     ;5;1609;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1615
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Sala de 4;     ;     ;     ;1;1902;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1909
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;Sala de 5;     ;     ;     ;     ;1;1934;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1935
Ciudad de Buenos Aires;Comuna 13;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;210;379;435;447;386;344;331;285;231;195;175;146;1578;5142
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;1°;     ;     ;     ;     ;     ;1;868;17;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;886
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;25;748;127;42;7;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;952
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;22;764;143;28;21;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;978
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;30;705;129;40;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;904
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;5;106;26;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;137
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;6;937;29;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;973
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;17;916;37;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;973
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;9;883;40;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;934
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;8;934;47;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;990
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;7;890;44;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;947
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;2;961;69;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1038
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;30;754;56;3;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;844
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;21;785;112;28;7;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;954
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Deambuladores;2;146;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;148
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Lactantes;81;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;81
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Sala de 2;     ;4;430;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;434
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Sala de 3;     ;     ;7;585;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;592
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;691;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;691
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;Sala de 5;     ;     ;     ;     ;     ;783;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;783
Ciudad de Buenos Aires;Comuna 14;Estatal;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;155;246;281;280;303;320;293;330;262;274;261;245;2364;5614
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;1°;     ;     ;     ;     ;     ;     ;1443;18;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1461
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;13;1168;71;5;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1258
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;10;1263;58;7;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1341
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;8;1173;55;13;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1249
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;32;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;34
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;2°;     ;     ;     ;     ;     ;     ;     ;1522;18;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1540
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;     ;1500;18;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1518
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;1;1528;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1545
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;2;1449;23;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1474
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1;1478;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1495
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1494;30;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1527
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;12;1248;34;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1296
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;23;1289;52;5;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1369
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Deambuladores;3;184;10;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;197
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Lactantes;9;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;9
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Sala de 2;     ;10;884;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;895
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Sala de 3;     ;     ;     ;1196;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1197
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Sala de 4;     ;     ;     ;4;1342;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1352
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;Sala de 5;     ;     ;     ;     ;     ;1410;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1410
Ciudad de Buenos Aires;Comuna 14;Privado;Urbano;SNU;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;57;92;124;147;139;126;132;120;105;102;108;96;2213;3561
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;1°;     ;     ;     ;     ;     ;12;855;29;     ;5;4;2;7;1;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;915
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;10°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;3;43;521;157;44;6;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;776
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;11°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;17;463;128;30;16;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;654
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;12°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;18;375;148;29;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;570
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;13°/14°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;8;29;158;35;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;230
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;2°;     ;     ;     ;     ;     ;     ;33;837;44;2;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;918
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;3°;     ;     ;     ;     ;     ;     ;     ;21;921;62;4;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;1008
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;4°;     ;     ;     ;     ;     ;     ;     ;     ;40;848;63;4;2;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;957
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;5°;     ;     ;     ;     ;     ;     ;     ;     ;     ;33;863;57;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;960
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;6°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;37;864;77;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;981
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;7°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;23;907;52;6;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;988
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;8°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;41;727;74;7;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;849
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;9°;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;64;684;144;24;3;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;919
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;Deambuladores;     ;56;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;56
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;Lactantes;34;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;34
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;Sala de 2;     ;     ;151;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;151
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;Sala de 3;     ;     ;     ;327;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;327
Ciudad de Buenos Aires;Comuna 15;Estatal;Urbano;Sala de 4;     ;     ;     ;     ;589;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;     ;589
